DateTime,Hour,Is_Peak_Hour,Actual_Load_kW,Forecast_Mean_kW,Forecast_Q67_kW,Forecast_Q75_kW,Forecast_Naive_kW,Forecast_Hybrid_kW,Forecast_Strategy,Deviation_kW,Penalty_Stage2_INR,Forecast_Direction
2021-05-01 00:00:00,0,0,1497.595644,1530.770310361022,1529.5843949940647,1534.036327926655,1505.744396,1529.5843949940647,Q67 (Off-Peak),-31.98875099406473,15.994375497032365,Over-forecast
2021-05-01 00:15:00,0,0,1486.8316,1502.7526689255146,1507.5004155723414,1509.1546348503396,1494.066232,1507.5004155723414,Q67 (Off-Peak),-20.668815572341373,10.334407786170686,Over-forecast
2021-05-01 00:30:00,0,0,1471.433672,1476.2250374777018,1481.7183003519256,1484.0454719453116,1476.077376,1481.7183003519256,Q67 (Off-Peak),-10.284628351925676,5.142314175962838,Over-forecast
2021-05-01 00:45:00,0,0,1450.29198,1448.3541665203568,1448.277645177294,1451.004339461613,1455.462392,1448.277645177294,Q67 (Off-Peak),2.014334822705905,2.014334822705905,Under-forecast
2021-05-01 01:00:00,1,0,1426.577508,1414.8325375628986,1420.0821639834317,1420.4755355879547,1431.595652,1420.0821639834317,Q67 (Off-Peak),6.495344016568424,6.495344016568424,Under-forecast
2021-05-01 01:15:00,1,0,1401.945804,1388.8918867388793,1396.469845356157,1386.543134868943,1405.252204,1396.469845356157,Q67 (Off-Peak),5.475958643842887,5.475958643842887,Under-forecast
2021-05-01 01:30:00,1,0,1375.595868,1357.0932958981568,1361.48013036488,1358.2418046035525,1382.79968,1361.48013036488,Q67 (Off-Peak),14.115737635120013,14.115737635120013,Under-forecast
2021-05-01 01:45:00,1,0,1350.70386,1331.174397166848,1332.5030373668108,1331.3468583183574,1360.86456,1332.5030373668108,Q67 (Off-Peak),18.20082263318932,18.20082263318932,Under-forecast
2021-05-01 02:00:00,2,0,1327.880756,1311.437784484457,1311.9914488753168,1314.6000923233423,1338.162888,1311.9914488753168,Q67 (Off-Peak),15.889307124683228,15.889307124683228,Under-forecast
2021-05-01 02:15:00,2,0,1306.418524,1290.2495163105004,1289.8285583450013,1291.9627577520332,1315.682184,1289.8285583450013,Q67 (Off-Peak),16.58996565499865,16.58996565499865,Under-forecast
2021-05-01 02:30:00,2,0,1284.294708,1271.8182602299644,1269.8241362431895,1272.2841619086114,1291.603664,1269.8241362431895,Q67 (Off-Peak),14.470571756810386,14.470571756810386,Under-forecast
2021-05-01 02:45:00,2,0,1266.018112,1251.1490064112484,1250.3486213242286,1253.3486643250626,1271.1104,1250.3486213242286,Q67 (Off-Peak),15.669490675771385,15.669490675771385,Under-forecast
2021-05-01 03:00:00,3,0,1247.148648,1232.415249085787,1232.304652072809,1233.733244225284,1248.50716,1232.304652072809,Q67 (Off-Peak),14.843995927191145,14.843995927191145,Under-forecast
2021-05-01 03:15:00,3,0,1230.41594,1212.5652826064986,1215.766252681148,1214.443138255768,1229.271612,1215.766252681148,Q67 (Off-Peak),14.649687318852102,14.649687318852102,Under-forecast
2021-05-01 03:30:00,3,0,1213.721488,1196.0492971402464,1198.3404834154871,1197.9183917243806,1213.591736,1198.3404834154871,Q67 (Off-Peak),15.381004584512766,15.381004584512766,Under-forecast
2021-05-01 03:45:00,3,0,1198.5324,1182.6031325723502,1182.0167529133505,1183.7212794322145,1196.707972,1182.0167529133505,Q67 (Off-Peak),16.51564708664955,16.51564708664955,Under-forecast
2021-05-01 04:00:00,4,0,1183.920584,1170.011164531791,1170.4112181896612,1171.7252291031975,1183.599608,1170.4112181896612,Q67 (Off-Peak),13.50936581033875,13.50936581033875,Under-forecast
2021-05-01 04:15:00,4,0,1172.749356,1158.906215935358,1156.21430937788,1160.5273863694797,1169.04852,1156.21430937788,Q67 (Off-Peak),16.535046622120035,16.535046622120035,Under-forecast
2021-05-01 04:30:00,4,0,1164.010588,1146.7123666852845,1149.5765687205246,1152.7010518911366,1162.389504,1149.5765687205246,Q67 (Off-Peak),14.434019279475478,14.434019279475478,Under-forecast
2021-05-01 04:45:00,4,0,1161.146516,1151.5153213698534,1151.5396778684487,1151.2309540229812,1161.087104,1151.5396778684487,Q67 (Off-Peak),9.606838131551285,9.606838131551285,Under-forecast
2021-05-01 05:00:00,5,0,1164.126048,1155.2619185975382,1159.1735651368356,1157.9704587013712,1161.464192,1159.1735651368356,Q67 (Off-Peak),4.952482863164505,4.952482863164505,Under-forecast
2021-05-01 05:15:00,5,0,1165.520304,1160.5143815010138,1162.5807349012568,1163.5880026544617,1163.191676,1162.5807349012568,Q67 (Off-Peak),2.93956909874305,2.93956909874305,Under-forecast
2021-05-01 05:30:00,5,0,1166.9248,1166.7307528591527,1167.6652630338078,1169.8133618076515,1164.752728,1167.6652630338078,Q67 (Off-Peak),-0.7404630338078277,0.37023151690391387,Over-forecast
2021-05-01 05:45:00,5,0,1158.7464,1157.5011952711038,1160.4477045650972,1160.5876566260736,1159.347688,1160.4477045650972,Q67 (Off-Peak),-1.701304565097189,0.8506522825485945,Over-forecast
2021-05-01 06:00:00,6,0,1149.273608,1145.3685468973042,1146.0243835706465,1146.9907101625472,1147.148124,1146.0243835706465,Q67 (Off-Peak),3.2492244293534895,3.2492244293534895,Under-forecast
2021-05-01 06:15:00,6,0,1130.91024,1121.4778787914024,1125.3722979995923,1121.719629065061,1126.220372,1125.3722979995923,Q67 (Off-Peak),5.537942000407611,5.537942000407611,Under-forecast
2021-05-01 06:30:00,6,0,1108.598828,1092.5091808584737,1093.7496301505885,1092.3105020270473,1108.31722,1093.7496301505885,Q67 (Off-Peak),14.84919784941144,14.84919784941144,Under-forecast
2021-05-01 06:45:00,6,0,1092.795,1077.6948481453028,1076.5018511126293,1083.218292873397,1095.504484,1076.5018511126293,Q67 (Off-Peak),16.293148887370762,16.293148887370762,Under-forecast
2021-05-01 07:00:00,7,0,1080.990968,1066.3388027013775,1064.250414212197,1069.3608232699637,1090.07674,1064.250414212197,Q67 (Off-Peak),16.740553787803037,16.740553787803037,Under-forecast
2021-05-01 07:15:00,7,0,1075.563972,1069.431153172737,1071.4615425008524,1075.564939843085,1095.97808,1071.4615425008524,Q67 (Off-Peak),4.102429499147547,4.102429499147547,Under-forecast
2021-05-01 07:30:00,7,0,1074.126748,1079.6758572113267,1079.4920408690198,1083.026703558834,1107.330924,1079.4920408690198,Q67 (Off-Peak),-5.365292869019868,2.682646434509934,Over-forecast
2021-05-01 07:45:00,7,0,1073.236392,1095.747215230435,1100.496557471936,1100.1523376351834,1120.837748,1100.496557471936,Q67 (Off-Peak),-27.260165471936034,13.630082735968017,Over-forecast
