DateTime,Hour,Is_Peak,Actual_Load_kW,Forecast_Mean_kW,Forecast_Q67_kW,Forecast_Naive_kW,Forecast_Hybrid_kW,Deviation_kW,Penalty_INR,Forecast_Type
2019-09-18 14:15:00,14,0,1490.0,1488.4631403878889,1489.1015819799804,1448.0,1488.4631403878889,1.5368596121111295,1.5368596121111295,Mean (Off-Peak)
2019-09-18 14:30:00,14,0,1486.0,1482.2789740859162,1482.4213243203071,1453.0,1482.2789740859162,3.721025914083839,3.721025914083839,Mean (Off-Peak)
2019-09-18 14:45:00,14,0,1478.0,1478.546524768394,1477.1727204772185,1460.0,1478.546524768394,-0.5465247683939651,0.2732623841969825,Mean (Off-Peak)
2019-09-18 15:00:00,15,0,1475.0,1476.4087100629686,1479.574541186697,1459.0,1476.4087100629686,-1.4087100629685665,0.7043550314842832,Mean (Off-Peak)
2019-09-18 15:15:00,15,0,1471.0,1468.4098460672471,1470.69899970838,1456.0,1468.4098460672471,2.5901539327528558,2.5901539327528558,Mean (Off-Peak)
2019-09-18 15:30:00,15,0,1460.0,1456.7303077179783,1460.4447525786711,1456.0,1456.7303077179783,3.2696922820216514,3.2696922820216514,Mean (Off-Peak)
2019-09-18 15:45:00,15,0,1455.0,1458.762741345233,1467.79433054471,1456.0,1458.762741345233,-3.762741345233053,1.8813706726165265,Mean (Off-Peak)
2019-09-18 16:00:00,16,0,1451.0,1451.8361559685047,1450.029736986845,1451.0,1451.8361559685047,-0.8361559685047268,0.4180779842523634,Mean (Off-Peak)
2019-09-18 16:15:00,16,0,1449.0,1446.3593733370406,1447.0820167995262,1439.0,1446.3593733370406,2.6406266629594484,2.6406266629594484,Mean (Off-Peak)
2019-09-18 16:30:00,16,0,1450.0,1452.6642660321882,1454.0863467955137,1435.0,1452.6642660321882,-2.664266032188152,1.332133016094076,Mean (Off-Peak)
2019-09-18 16:45:00,16,0,1456.0,1458.3966774592325,1459.8914668027976,1436.0,1458.3966774592325,-2.396677459232478,1.198338729616239,Mean (Off-Peak)
2019-09-18 17:00:00,17,0,1451.0,1448.7369538900373,1449.9278303661458,1431.0,1448.7369538900373,2.2630461099627155,2.2630461099627155,Mean (Off-Peak)
2019-09-18 17:15:00,17,0,1451.0,1451.8723278727705,1452.7233670517812,1424.0,1451.8723278727705,-0.8723278727704837,0.4361639363852418,Mean (Off-Peak)
2019-09-18 17:30:00,17,0,1451.0,1451.5551413207563,1452.848222332846,1415.0,1451.5551413207563,-0.5551413207563201,0.27757066037816,Mean (Off-Peak)
2019-09-18 17:45:00,17,0,1450.0,1447.429536741388,1448.3105366690868,1409.0,1447.429536741388,2.570463258612108,2.570463258612108,Mean (Off-Peak)
2019-09-18 18:00:00,18,1,1452.0,1452.8211740443155,1454.5737321772729,1405.0,1454.5737321772729,-2.573732177272859,1.2868660886364296,Q67 (Peak)
2019-09-18 18:15:00,18,1,1457.0,1456.7117328905565,1459.8174474482178,1400.0,1459.8174474482178,-2.817447448217763,1.4087237241088817,Q67 (Peak)
2019-09-18 18:30:00,18,1,1470.0,1467.704600795239,1474.3337860766308,1408.0,1474.3337860766308,-4.333786076630759,2.1668930383153797,Q67 (Peak)
2019-09-18 18:45:00,18,1,1490.0,1485.9115763711245,1493.5908536298732,1430.0,1493.5908536298732,-3.5908536298732088,1.7954268149366044,Q67 (Peak)
2019-09-18 19:00:00,19,1,1505.0,1502.5955791182766,1502.7214513795436,1454.0,1502.7214513795436,2.2785486204563767,2.2785486204563767,Q67 (Peak)
2019-09-18 19:15:00,19,1,1508.0,1507.753317183011,1507.085933699401,1465.0,1507.085933699401,0.9140663005989608,0.9140663005989608,Q67 (Peak)
2019-09-18 19:30:00,19,1,1504.0,1506.7393174019544,1504.8879423412793,1467.0,1504.8879423412793,-0.887942341279313,0.4439711706396565,Q67 (Peak)
2019-09-18 19:45:00,19,1,1497.0,1496.5948722411954,1501.9991819504587,1462.0,1501.9991819504587,-4.999181950458706,2.499590975229353,Q67 (Peak)
2019-09-18 20:00:00,20,1,1490.0,1488.043154125214,1492.9906054301598,1452.0,1492.9906054301598,-2.9906054301598037,1.4953027150799016,Q67 (Peak)
2019-09-18 20:15:00,20,1,1474.0,1470.183484646073,1468.8547005775133,1429.0,1468.8547005775133,5.145299422486687,5.145299422486687,Q67 (Peak)
2019-09-18 20:30:00,20,1,1464.0,1464.6120479814265,1467.422616459249,1411.0,1467.422616459249,-3.4226164592489567,1.7113082296244784,Q67 (Peak)
2019-09-18 20:45:00,20,1,1451.0,1450.3762694690736,1448.7995995479207,1394.0,1448.7995995479207,2.200400452079293,2.200400452079293,Q67 (Peak)
2019-09-18 21:00:00,21,1,1435.0,1434.4312218621014,1439.2039739363197,1373.0,1439.2039739363197,-4.203973936319699,2.1019869681598493,Q67 (Peak)
2019-09-18 21:15:00,21,1,1406.0,1403.089574560325,1404.504914203251,1354.0,1404.504914203251,1.495085796748981,1.495085796748981,Q67 (Peak)
2019-09-18 21:30:00,21,1,1383.0,1385.490286641847,1392.7458977388264,1340.0,1392.7458977388264,-9.745897738826445,4.8729488694132215,Q67 (Peak)
2019-09-18 21:45:00,21,1,1367.0,1367.2098414453371,1371.624153882825,1326.0,1371.624153882825,-4.624153882825112,2.312076941412556,Q67 (Peak)
2019-09-18 22:00:00,22,0,1355.0,1351.5537152213171,1349.1701037762466,1311.0,1349.1701037762466,5.829896223753394,5.829896223753394,Q67 (Peak)
2019-09-18 22:15:00,22,0,1328.0,1325.6514603214464,1325.7383489818988,1292.0,1325.7383489818988,2.2616510181012472,2.2616510181012472,Q67 (Peak)
2019-09-18 22:30:00,22,0,1285.0,1284.4598517337467,1287.749380357741,1285.0,1287.749380357741,-2.7493803577410745,1.3746901788705372,Q67 (Peak)
2019-09-18 22:45:00,22,0,1248.0,1252.5365532253777,1256.38089637731,1277.0,1256.38089637731,-8.38089637730991,4.190448188654955,Q67 (Peak)
2019-09-18 23:00:00,23,0,1215.0,1204.1412522732664,1219.7412464301317,1270.0,1204.1412522732664,10.858747726733554,10.858747726733554,Mean (Off-Peak)
2019-09-18 23:15:00,23,0,1170.0,1161.1137863455465,1176.700972161227,1253.0,1161.1137863455465,8.886213654453513,8.886213654453513,Mean (Off-Peak)
2019-09-18 23:30:00,23,0,1145.0,1139.886685363531,1161.26660977165,1239.0,1139.886685363531,5.113314636469113,5.113314636469113,Mean (Off-Peak)
2019-09-18 23:45:00,23,0,1125.0,1126.3692996533496,1124.48965732417,1214.0,1126.3692996533496,-1.3692996533495716,0.6846498266747858,Mean (Off-Peak)
2019-09-19 00:00:00,0,0,1110.0,1101.39808080893,1107.0930614147458,1190.0,1101.39808080893,8.60191919107001,8.60191919107001,Mean (Off-Peak)
2019-09-19 00:15:00,0,0,1085.0,1082.124946115239,1084.7151852932209,1163.0,1082.124946115239,2.875053884760973,2.875053884760973,Mean (Off-Peak)
2019-09-19 00:30:00,0,0,1064.0,1062.044240071701,1065.251342955372,1140.0,1062.044240071701,1.955759928298903,1.955759928298903,Mean (Off-Peak)
2019-09-19 00:45:00,0,0,1043.0,1045.2347582681907,1044.348883742161,1117.0,1045.2347582681907,-2.234758268190717,1.1173791340953585,Mean (Off-Peak)
2019-09-19 01:00:00,1,0,1025.0,1025.549164582148,1021.1241336345468,1093.0,1025.549164582148,-0.5491645821480233,0.2745822910740116,Mean (Off-Peak)
2019-09-19 01:15:00,1,0,1004.0,1001.7458124083936,999.8588545955464,1070.0,1001.7458124083936,2.25418759160641,2.25418759160641,Mean (Off-Peak)
2019-09-19 01:30:00,1,0,988.0,990.1847594350498,985.2187436423892,1047.0,990.1847594350498,-2.184759435049841,1.0923797175249206,Mean (Off-Peak)
2019-09-19 01:45:00,1,0,973.0,968.0083540859684,968.3262644141096,1023.0,968.0083540859684,4.991645914031551,4.991645914031551,Mean (Off-Peak)
2019-09-19 02:00:00,2,0,958.0,956.624386950296,955.090169961121,1006.0,956.624386950296,1.375613049704043,1.375613049704043,Mean (Off-Peak)
2019-09-19 02:15:00,2,0,944.0,946.481894007221,941.3521432080285,992.0,946.481894007221,-2.4818940072209443,1.2409470036104722,Mean (Off-Peak)
2019-09-19 02:30:00,2,0,934.0,933.7974902965868,932.060561551782,980.0,933.7974902965868,0.2025097034131704,0.2025097034131704,Mean (Off-Peak)
2019-09-19 02:45:00,2,0,925.0,925.1904276949886,924.2846143103226,968.0,925.1904276949886,-0.190427694988557,0.0952138474942785,Mean (Off-Peak)
